,Date,Company,CCI_daily_10,CCI_daily_25,CCI_daily_50,ROCR_CCI_daily_50,ROCR_ROC_daily_10_close,"APO_daily_close_(8, 20)_2","APO_daily_close_(5, 10)_2",MACD_daily_close_26_52_9,MACD_Hist_x,MACD_Signal_x,MACD_daily_close_12_26_9,MACD_Hist_y,MACD_Signal_y,"PPO_daily_close_(8, 20)_2","PPO_daily_close_(5, 10)_2",CCI_daily_5,Open,High,Low,Close,Adj Close,Volume,LOVEAdj_Close,FLXSAdj_Close,HOFTAdj_Close,RSI
0,1999-11-05,ETD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.8652,35.625,36.0,35.5,36.0,15.639104843139648,191500,,6.308594226837158,,
1,1999-11-08,ETD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.2437,35.75,36.375,35.25,35.25,15.313294410705566,95200,,6.308594226837158,,0.0
2,1999-11-09,ETD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-55.5556,35.4375,35.875,35.25,35.4375,15.394742012023926,87700,,6.308594226837158,,19.999016487878208
3,1999-11-10,ETD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-166.0346,35.1875,35.4375,34.375,35.0625,15.231834411621094,181200,,6.308594226837158,,14.284901866986033
4,1999-11-11,ETD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.0442,35.125,35.9375,35.125,35.25,15.313294410705566,141500,,6.278977870941162,,25.000182941375343
5,1999-11-12,ETD,-121.9931,0.0,0.0,0.0,0.0,0.0,-0.0906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5795,-83.3333,35.1875,35.625,34.5,34.75,15.096077919006348,126400,,6.278977870941162,,18.749965698805866
6,1999-11-15,ETD,-93.5777,0.0,0.0,0.998,0.0,0.0,-0.0963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6175,-35.9179,35.0,35.875,34.5,34.8125,15.123231887817383,108700,,6.33821439743042,,33.33327758106519
7,1999-11-16,ETD,171.9063,0.0,0.0,1.0225,0.0,0.0,0.0448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2853,147.7146,34.9375,36.875,34.9375,36.8125,15.992069244384766,248100,,6.278977870941162,,71.99978082515116
8,1999-11-17,ETD,183.0415,0.0,0.0,1.0301,0.0,0.0,0.1399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8849,109.9291,36.5625,37.0625,36.4375,36.625,15.910612106323242,166400,,6.278977870941162,,76.59526766777718
9,1999-11-18,ETD,55.089,0.0,0.0,1.0104,0.0,0.0,0.1421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8976,22.6655,36.8125,37.0,35.1875,35.8125,15.557653427124023,171000,,6.278977870941162,,57.894652517468245
