,time,Company,CCI_daily_10,CCI_daily_25,CCI_daily_50,ROCR_CCI_daily_50,ROCR_ROC_daily_10_close,"APO_daily_close_(8, 20)_2","APO_daily_close_(5, 10)_2",MACD_daily_close_26_52_9,MACD_Hist_x,MACD_Signal_x,MACD_daily_close_12_26_9,MACD_Hist_y,MACD_Signal_y,"PPO_daily_close_(8, 20)_2","PPO_daily_close_(5, 10)_2",CCI_daily_5
0,2024-06-12,LTH,156.735,140.5425,190.9338,1.1643,1.1928,0.6251,0.1648,0.7495,0.1405,0.6089,0.7724,0.1011,0.6713,3.6781,0.9395,156.8167
1,2024-06-11,LTH,65.8103,110.8384,164.7261,1.1202,1.1854,0.6409,0.1734,0.7122,0.1384,0.5738,0.7464,0.1005,0.646,3.8061,0.9979,18.3121
2,2024-06-10,LTH,90.4202,133.636,189.0606,1.0855,1.2466,0.7024,0.2716,0.6877,0.1485,0.5392,0.7513,0.1305,0.6209,4.202,1.5732,143.1994
3,2024-06-07,LTH,74.897,127.5675,183.2824,1.0938,1.2385,0.7025,0.3522,0.6532,0.1512,0.5021,0.7344,0.1462,0.5882,4.2406,2.0591,45.6585
4,2024-06-06,LTH,95.9538,144.0001,204.3715,1.0655,1.3523,0.6814,0.4333,0.6181,0.1539,0.4643,0.7164,0.1647,0.5517,4.1504,2.5573,89.7959
5,2024-06-05,LTH,121.1822,155.5147,221.4091,1.0874,1.2745,0.6272,0.4492,0.5735,0.1477,0.4258,0.6748,0.1643,0.5105,3.8603,2.6823,104.2113
6,2024-06-04,LTH,121.9923,148.2002,218.1523,1.1281,1.2302,0.5665,0.3864,0.5286,0.1398,0.3889,0.6293,0.1598,0.4695,3.5222,2.3334,69.9328
7,2024-06-03,LTH,146.2632,158.3259,233.8796,1.1295,1.2205,0.5155,0.2739,0.4827,0.1288,0.3539,0.5772,0.1477,0.4295,3.2379,1.6741,93.4783
8,2024-05-31,LTH,150.1746,160.3524,234.5806,1.0743,1.1892,0.4431,0.1279,0.4292,0.1075,0.3217,0.5014,0.1088,0.3926,2.8146,0.7931,125.7895
9,2024-05-30,LTH,108.4685,135.5318,196.1615,1.1008,1.1256,0.4044,0.0252,0.3878,0.093,0.2949,0.4472,0.0818,0.3654,2.5927,0.158,101.8998
